gem,modulos,deps,instalou,instalou_a_propria,usou_gemfile,ambiente,erro_instalacao,load_paths,entrada,porta_abriu,erro_porta,recuperados_pela_ordem,barrados_no_rspec,carregam,falham
cocoapods,114,addressable claide cocoapods-core cocoapods-deintegrate cocoapods-downloader cocoapods-plugins cocoapods-search cocoapods-trunk cocoapods-try colored2 fourflusher gh_inspector molinillo nap ruby-macho xcodeproj,True,,,deps do gemspec,,lib,cocoapods,True,,5,0,114,0
coderay,30,,True,,,deps do gemspec,,lib test/lib,coderay,True,,0,0,29,1
colorize,2,,True,,,deps do gemspec,,lib,colorize,True,,0,0,2,0
commander,6,highline,True,,,deps do gemspec,,lib,commander,True,,0,0,6,0
concurrent-ruby,110,,True,,,deps do gemspec,,lib,(sem porta),True,,3,0,13,97
connection_pool,4,,True,,,deps do gemspec,,lib,connection_pool,True,,0,0,4,0
countries,13,unaccent,True,,,deps do gemspec,,lib,countries,True,,0,0,13,0
dalli,26,logger,True,,,deps do gemspec,,lib,dalli,True,,0,0,25,1
danger,86,base64 claide claide-plugins colored2 cork faraday faraday-http-cache git kramdown kramdown-parser-gfm octokit pstore terminal-table,True,,,deps do gemspec,,lib spec/lib,danger,True,,0,0,86,0
database_cleaner,7,database_cleaner-active_record,True,,,deps do gemspec,,lib examples/lib,database_cleaner,True,,0,0,6,1
debug,17,irb reline,True,,,deps do gemspec,,lib,debug,True,,0,0,17,0
devise,40,bcrypt orm_adapter railties responders warden,True,,,deps do gemspec,,lib app,devise,True,,0,0,27,13
diffy,4,,True,,,deps do gemspec,,lib,diffy,True,,0,0,4,0
docile,1,,True,,,deps do gemspec,,lib,docile,True,,0,0,1,0
dotenv,8,,True,,,deps do gemspec,,lib,dotenv,True,,0,0,5,3
dry-types,39,bigdecimal concurrent-ruby dry-core dry-inflector dry-logic zeitwerk,True,,,deps do gemspec,,lib,dry-types,True,,0,0,38,1
eventmachine,34,,True,True,,deps + a propria gem,,lib,eventmachine,True,,0,0,32,2
excon,12,logger,True,,,deps do gemspec,,lib,excon,True,,0,0,12,0
eye,62,celluloid celluloid-io kostya-sigar state_machines thor,True,,,deps do gemspec,,lib,eye,True,,22,0,54,8
factory_bot,33,activesupport,True,,,deps do gemspec,,lib,factory_bot,True,,0,0,33,0
faker,55,i18n,True,,,deps do gemspec,,lib,faker,True,,0,0,55,0
faraday,26,faraday-net_http json logger,True,,,deps do gemspec,,lib,faraday,True,,0,0,26,0
fastimage,9,,True,,,deps do gemspec,,lib,fastimage,True,,0,0,9,0
fastlane,500,abbrev addressable artifactory aws-sdk-s3 babosa base64 benchmark bundler CFPropertyList cgi colored commander csv dotenv emoji_regex excon faraday faraday-cookie_jar faraday-follow_redirects faraday-multipart faraday-retry fastimage fastlane-sirp gh_inspector google-apis-androidpublisher_v3 google-apis-playcustomapp_v1 google-cloud-env google-cloud-storage highline irb json jwt logger mini_magick multi_json multipart-post mutex_m naturally nkf optparse ostruct plist rubyzip security simctl terminal-notifier terminal-table tty-screen tty-spinner word_wrap xcodeproj xcpretty xcpretty-travis-formatter,True,True,True,Gemfile do projeto,,cert/lib credentials_manager/lib deliver/lib fastlane/lib fastlane_core/lib frameit/lib gym/lib match/lib pem/lib pilot/lib precheck/lib produce/lib scan/lib screengrab/lib sigh/lib snapshot/lib spaceship/lib supply/lib trainer/lib,fastlane,True,,1,0,486,14
foreman,6,thor,True,,,deps do gemspec,,lib,foreman,True,,1,0,6,0
formatador,3,reline,True,,,deps do gemspec,,lib,formatador,True,,0,0,3,0
geocoder,113,base64 csv,True,,,deps do gemspec,,lib,geocoder,True,,0,0,113,0
gitlab,48,base64 httparty terminal-table,True,,,deps do gemspec,,lib,gitlab,True,,0,0,48,0
gli,27,ostruct,True,,,deps do gemspec,,lib,gli,True,,0,0,27,0
guard,33,formatador listen logger lumberjack nenv notiffany pry shellany thor,True,,,deps do gemspec,,lib spec/lib,guard,True,,0,0,33,0
haml,20,prism temple thor tilt,True,,,deps do gemspec,,lib,haml,True,,0,0,19,1
hashie,25,logger,True,,,deps do gemspec,,lib,hashie,True,,0,0,25,0
http,37,http-cookie llhttp,True,,,deps do gemspec,,lib,http,True,,0,0,37,0
httparty,17,csv mini_mime multi_xml,True,,,deps do gemspec,,lib,httparty,True,,0,0,17,0
httpclient,14,mutex_m,True,,,deps do gemspec,,lib,httpclient,True,,0,0,13,1
i18n,24,concurrent-ruby,True,,,deps do gemspec,,lib,i18n,True,,0,0,23,1
image_processing,6,,True,,,deps do gemspec,,lib,image_processing,True,,0,0,4,2
jaro_winkler,1,,True,,,deps do gemspec,,lib,jaro_winkler,True,,0,0,1,0
jbuilder,5,actionview activesupport,True,,,deps do gemspec,,lib,jbuilder,True,,0,0,3,2
jwt,21,base64,True,,,deps do gemspec,,lib,jwt,True,,0,0,21,0
kaminari,9,activesupport kaminari-actionview kaminari-activerecord kaminari-core,True,,,deps do gemspec,,lib kaminari-actionview/lib kaminari-activerecord/lib kaminari-core/lib,kaminari,True,,0,0,7,2
knapsack,16,rake,True,,,deps do gemspec,,lib,knapsack,True,,0,0,16,0
kramdown,23,rexml,True,,,deps do gemspec,,lib,kramdown,True,,4,0,23,0
letter_opener,2,launchy,True,,,deps do gemspec,,lib,letter_opener,True,,0,0,2,0
liquid,44,bigdecimal strscan,True,,,deps do gemspec,,lib,liquid,True,,0,0,44,0
listen,26,logger rb-fsevent rb-inotify,True,,,deps do gemspec,,lib spec/lib,listen,True,,0,0,25,1
logging,20,little-plugger multi_json,True,,,deps do gemspec,,lib,logging,True,,0,0,20,0
lograge,10,actionpack activesupport railties request_store,True,,,deps do gemspec,,lib,lograge,True,,0,0,9,1
mail,52,logger mini_mime net-imap net-pop net-smtp,True,,,deps do gemspec,,lib,mail,True,,0,0,52,0
minitest,16,drb prism,True,,,deps do gemspec,,lib,minitest,True,,0,1,15,0
money,8,bigdecimal i18n,True,,,deps do gemspec,,lib sig/lib,money,True,,0,0,8,0
mongo,201,base64 bson,True,,,deps do gemspec,,lib,mongo,True,,0,0,197,4
mysql2,3,bigdecimal,True,False,True,deps do gemspec,"propria: l remain installed in /private/var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_gt6_2oj2/g_mysql2/gems/mysql2-0.5.7 for inspection.
Results logged to /private/var/folders/xt/zsl5k3z97rn823l5tt5fhfr40000gn/T/marta_c6_gt6_2oj2/g_mysql2/extensions/arm64-darwin-25/3.4.0/mysql2-0.5.7/gem_make.out",lib,mysql2,False,LoadError: cannot load such file -- mysql2/mysql2,0,2,0,1
oauth2,7,anonymous_loader auth-sanitizer faraday jwt logger multi_xml rack snaky_hash version_gem,True,,,deps do gemspec,,lib,oauth2,True,,0,0,7,0
omniauth,7,hashie logger rack rack-protection,True,,,deps do gemspec,,lib,omniauth,True,,0,0,7,0
optimist,1,,True,,,deps do gemspec,,lib,optimist,True,,0,0,1,0
paper_trail,27,activerecord request_store,True,,,deps do gemspec,,lib,paper_trail,True,,0,0,24,3
parallel,2,,True,,,deps do gemspec,,lib,parallel,True,,0,0,2,0
parallel_tests,13,parallel,True,,,deps do gemspec,,lib,parallel_tests,True,,0,0,10,3
pastel,5,tty-color,True,,,deps do gemspec,,lib,pastel,True,,0,0,5,0
pg,8,,True,True,,deps + a propria gem,,lib,pg,True,,0,0,8,0
prawn,42,matrix pdf-core ttfunk,True,,,deps do gemspec,,lib,prawn,True,,0,0,42,0
premailer-rails,6,actionmailer net-smtp premailer,True,,,deps do gemspec,,lib,premailer/rails,True,,0,0,6,0
pry,87,coderay method_source reline,True,,,deps do gemspec,,lib,pry,True,,0,0,87,0
pry-byebug,4,byebug pry,True,,,deps do gemspec,,lib,pry-byebug,True,,0,0,4,0
pry-rails,5,pry,True,,,deps do gemspec,,lib,pry-rails,True,,0,0,1,4
puma,37,nio4r,True,True,,deps + a propria gem,,lib,puma,True,,3,0,37,0
pundit,5,activesupport,True,,,deps do gemspec,,lib,pundit,True,,0,0,4,1
rack-attack,11,rack,True,,,deps do gemspec,,lib,rack/attack,True,,0,0,11,0
rack-cors,4,logger rack,True,,,deps do gemspec,,lib,rack/cors,True,,0,0,4,0
rack-protection,6,base64 logger rack,True,,,deps do gemspec,,rack-protection/lib rack-protection/spec/lib,rack-protection,True,,0,0,6,0
rails-i18n,3,i18n railties,True,,,deps do gemspec,,lib,rails-i18n,True,,0,0,3,0
rake,25,,True,,,deps do gemspec,,lib,rake,True,,0,0,25,0
ransack,21,activerecord activesupport i18n,True,,,deps do gemspec,,lib,ransack,True,,0,0,18,3
rdoc,84,erb prism rbs tsort,True,,,deps do gemspec,,lib test/lib,rdoc,True,,1,0,83,1
redcarpet,5,,True,True,,deps + a propria gem,,lib,redcarpet,True,,0,0,5,0
responders,5,actionpack railties,True,,,deps do gemspec,,lib,responders,True,,0,0,4,1
rest-client,12,http-accept http-cookie mime-types netrc,True,,,deps do gemspec,,lib,rest-client,True,,0,0,11,1
roo,20,base64 csv logger nokogiri rubyzip,True,,,deps do gemspec,,lib spec/lib,roo,True,,0,0,20,0
rouge,64,strscan,True,,,deps do gemspec,,lib,rouge,True,,0,0,64,0
rqrcode,1,chunky_png rqrcode_core,True,,,deps do gemspec,,lib,rqrcode,True,,0,0,1,0
rspec,154,rspec-core rspec-expectations rspec-mocks,True,,,deps do gemspec,,rspec/lib rspec-core/lib rspec-expectations/lib rspec-mocks/lib rspec-support/lib,rspec,True,,44,46,103,5
rubocop,652,json language_server-protocol lint_roller parallel parser rainbow regexp_parser rubocop-ast ruby-progressbar unicode-display_width,True,,,deps do gemspec,,lib,rubocop,True,,5,0,646,6
rubocop-performance,33,lint_roller rubocop rubocop-ast,True,,,deps do gemspec,,lib,rubocop-performance,True,,0,0,33,0
rubocop-rails,94,activesupport lint_roller rack rubocop rubocop-ast,True,,,deps do gemspec,,lib,rubocop-rails,True,,0,0,94,0
rubocop-rspec,84,lint_roller regexp_parser rubocop,True,,,deps do gemspec,,lib,rubocop-rspec,True,,0,0,84,0
rufus-scheduler,7,fugit,True,,,deps do gemspec,,lib,rufus-scheduler,True,,0,0,7,0
savon,21,akami builder gyoku httpi mail nokogiri nori wasabi,True,,,deps do gemspec,,lib,savon,True,,0,0,21,0
sawyer,5,addressable faraday,True,,,deps do gemspec,,lib,sawyer,True,,0,0,5,0
selenium-webdriver,117,base64 logger rexml rubyzip websocket,True,,,deps do gemspec,,rb/lib rb/sig/lib,selenium-webdriver,True,,3,0,116,1
sentry-ruby,92,bigdecimal concurrent-ruby logger,True,,,deps do gemspec,,lib bin/lib sentry-delayed_job/lib sentry-opentelemetry/lib sentry-rails/lib sentry-resque/lib sentry-ruby/lib sentry-sidekiq/lib sentry-yabeda/lib,sentry-ruby,True,,1,0,74,18
shoulda-matchers,94,activesupport,True,,,deps do gemspec,,lib,shoulda-matchers,True,,0,0,94,0
simplecov,93,,True,,,deps do gemspec,,lib,simplecov,True,,0,0,93,0
slack-notifier,7,,True,,,deps do gemspec,,lib spec/lib,slack-notifier,True,,0,0,7,0
slop,6,,True,,,deps do gemspec,,lib,slop,True,,0,0,6,0
spring,19,,True,,,deps do gemspec,,lib,(sem porta),True,,1,2,12,5
sprockets,47,concurrent-ruby logger rack,True,,,deps do gemspec,,lib,sprockets,True,,0,0,46,1
stackprof,3,,True,True,,deps + a propria gem,,lib,stackprof,True,,0,0,3,0
state_machines,39,,True,,,deps do gemspec,,lib,state_machines,True,,0,0,39,0
terminal-table,5,unicode-display_width,True,,,deps do gemspec,,lib,terminal-table,True,,0,0,5,0
thin,20,daemons eventmachine logger rack,True,True,,deps + a propria gem,,lib,thin,True,,0,0,20,0
tilt,18,,True,,,deps do gemspec,,lib,tilt,True,,0,0,7,11
timecop,3,,True,,,deps do gemspec,,lib,timecop,True,,0,0,3,0
twilio-ruby,135,faraday jwt nokogiri,True,,,deps do gemspec,,lib,twilio-ruby,True,,24,0,134,1
typhoeus,18,ethon,True,,,deps do gemspec,,lib,typhoeus,True,,0,0,17,1
tzinfo,33,concurrent-ruby,True,,,deps do gemspec,,lib,tzinfo,True,,0,0,33,0
vcr,32,,True,,,deps do gemspec,,lib spec/lib,vcr,True,,0,0,27,5
virtus,25,axiom-types coercible descendants_tracker,True,,,deps do gemspec,,lib,virtus,True,,0,0,25,0
warden,9,rack,True,,,deps do gemspec,,lib,warden,True,,0,0,9,0
webmock,38,addressable crack hashdiff,True,,,deps do gemspec,,lib,webmock,True,,0,0,38,0
will_paginate,15,,True,,,deps do gemspec,,lib,will_paginate,True,,0,0,8,7
wisper,8,,True,,,deps do gemspec,,lib spec/lib,wisper,True,,0,0,8,0
yajl-ruby,5,,True,,,deps do gemspec,,lib,(sem porta),True,,0,0,0,5
zeitwerk,14,,True,,,deps do gemspec,,lib test/lib,zeitwerk,True,,0,0,14,0
doorkeeper,67,railties,True,True,True,Gemfile do projeto,,lib app spec/lib,doorkeeper,False,NoMethodError: undefined method 'mattr_reader' for class Doorkeeper::Config,16,0,46,21
