gem,ficheiro,commit,categoria,loc_medio,loc_max,pct_singleton,pct_duck,mixins_por_classe,profundidade_heranca,metaprog_por_100,metodos,classes,formas,razao_formas,copia_de,semelhanca
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/available_phone_number_country/toll_free.rb,c58e213a6f04,third-party apis,7.9,32,0,71,0.0,2,0.0,34,11,15,0.441,twilio-ruby/lib/twilio-ruby/rest/api/v2010/account/available_phone_number_country/voip.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/available_phone_number_country/shared_cost.rb,c58e213a6f04,third-party apis,7.9,32,0,71,0.0,2,0.0,34,11,15,0.441,twilio-ruby/lib/twilio-ruby/rest/api/v2010/account/available_phone_number_country/voip.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/available_phone_number_country/machine_to_machine.rb,c58e213a6f04,third-party apis,7.9,32,0,71,0.0,2,0.0,34,11,15,0.441,twilio-ruby/lib/twilio-ruby/rest/api/v2010/account/available_phone_number_country/voip.rb,1.0
bullet,lib/bullet/active_record72.rb,bc55c037d27a,profiler and optimization,28.6,303,5,89,0.0,0,10.5,19,3,18,0.947,bullet/lib/bullet/active_record80.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/voice/v1.rb,c58e213a6f04,third-party apis,10.2,16,0,67,0.0,2,0.0,9,4,5,0.556,twilio-ruby/lib/twilio-ruby/rest/lookups/v2.rb,1.0
concurrent-ruby,docs-source/medium-example.in.rb,0b88d5ff75f6,concurrency and parallelism,10.2,33,50,83,0.0,0,0.0,6,2,6,1.0,concurrent-ruby/docs-source/medium-example.out.rb,1.0
fastlane,fastlane/lib/fastlane/actions/team_name.rb,38d0ec404332,mobile development,4.7,11,100,33,0.0,1,0.0,6,4,4,0.667,fastlane/fastlane/lib/fastlane/actions/team_id.rb,1.0
bullet,lib/bullet/mongoid5x.rb,bc55c037d27a,profiler and optimization,14.3,53,17,50,0.0,0,33.3,6,2,6,1.0,bullet/lib/bullet/mongoid4x.rb,1.0
gitlab,lib/gitlab/client/labels.rb,4818c5712616,third-party apis,3,3,0,33,0.0,2,0.0,6,2,5,0.833,gitlab/lib/gitlab/client/group_labels.rb,1.0
concurrent-ruby,docs-source/actor/supervision_tree.in.rb,0b88d5ff75f6,concurrency and parallelism,7.4,11,0,60,0.0,2,0.0,5,2,5,1.0,concurrent-ruby/docs-source/actor/supervision_tree.out.rb,1.0
concurrent-ruby,lib/concurrent-ruby/concurrent/atomic/fiber_local_var.rb,0b88d5ff75f6,concurrency and parallelism,7.8,15,0,20,0.0,0,0.0,5,2,5,1.0,concurrent-ruby/lib/concurrent-ruby/concurrent/atomic/thread_local_var.rb,1.0
shoulda-matchers,lib/shoulda/matchers/active_model/numericality_matchers/odd_number_matcher.rb,cf3b3685f2c0,testing,5.2,10,0,60,0.0,1,0.0,5,5,4,0.8,shoulda-matchers/lib/shoulda/matchers/active_model/numericality_matchers/even_number_matcher.rb,1.0
shoulda-matchers,lib/shoulda/matchers/active_model/numericality_matchers/only_integer_matcher.rb,cf3b3685f2c0,testing,5,9,0,60,0.0,1,0.0,5,5,4,0.8,shoulda-matchers/lib/shoulda/matchers/active_model/numericality_matchers/even_number_matcher.rb,1.0
bullet,lib/bullet/notification/unused_eager_loading.rb,bc55c037d27a,profiler and optimization,3.4,5,0,0,0.0,1,0.0,5,3,5,1.0,bullet/lib/bullet/notification/n_plus_one_query.rb,1.0
geocoder,lib/geocoder/lookups/ipinfo_io.rb,d3515db46c57,geolocation,5.8,10,0,60,0.0,1,0.0,5,2,5,1.0,geocoder/lib/geocoder/lookups/ipinfo_io_lite.rb,1.0
mongo,lib/mongo/operation/find/result.rb,049b718a2d47,database drivers,3,3,0,100,0.0,1,0.0,5,4,4,0.8,mongo/lib/mongo/operation/get_more/result.rb,1.0
concurrent-ruby,docs-source/actor/io.in.rb,0b88d5ff75f6,concurrency and parallelism,3.5,5,0,0,0.0,2,0.0,4,2,3,0.75,concurrent-ruby/docs-source/actor/io.out.rb,1.0
byebug,lib/byebug/settings/autolist.rb,aff644023372,debugging tools,3,3,0,0,0.0,1,0.0,4,2,4,1.0,byebug/lib/byebug/settings/autopry.rb,1.0
byebug,lib/byebug/settings/autoirb.rb,aff644023372,debugging tools,3,3,0,0,0.0,1,0.0,4,2,4,1.0,byebug/lib/byebug/settings/autopry.rb,1.0
byebug,lib/byebug/commands/disable/breakpoints.rb,aff644023372,debugging tools,4.8,10,75,25,0.33,1,0.0,4,3,3,0.75,byebug/lib/byebug/commands/enable/breakpoints.rb,1.0
byebug,lib/byebug/commands/disable/display.rb,aff644023372,debugging tools,5,11,75,25,0.33,1,0.0,4,3,3,0.75,byebug/lib/byebug/commands/enable/display.rb,1.0
rouge,lib/rouge/lexers/jinja.rb,afc3c52c2af0,code highlighting,4.5,7,100,0,0.0,3,0.0,4,3,3,0.75,rouge/lib/rouge/lexers/twig.rb,1.0
fastlane,fastlane/lib/fastlane/actions/build_mac_app.rb,38d0ec404332,mobile development,6.2,11,100,50,0.0,2,0.0,4,3,4,1.0,fastlane/fastlane/lib/fastlane/actions/build_ios_app.rb,1.0
bullet,lib/bullet/mongoid9x.rb,bc55c037d27a,profiler and optimization,27,68,25,75,0.0,0,100.0,4,2,4,1.0,bullet/lib/bullet/mongoid7x.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/ip_messaging/v1.rb,c58e213a6f04,third-party apis,7.8,11,0,50,0.0,2,0.0,4,4,3,0.75,twilio-ruby/lib/twilio-ruby/rest/ip_messaging/v2.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/notify/v1.rb,c58e213a6f04,third-party apis,7.8,11,0,50,0.0,2,0.0,4,4,3,0.75,twilio-ruby/lib/twilio-ruby/rest/ip_messaging/v2.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/monitor/v1.rb,c58e213a6f04,third-party apis,7.8,11,0,50,0.0,2,0.0,4,4,3,0.75,twilio-ruby/lib/twilio-ruby/rest/ip_messaging/v2.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/chat/v2.rb,c58e213a6f04,third-party apis,7.8,11,0,50,0.0,2,0.0,4,4,3,0.75,twilio-ruby/lib/twilio-ruby/rest/ip_messaging/v2.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/chat/v1.rb,c58e213a6f04,third-party apis,7.8,11,0,50,0.0,2,0.0,4,4,3,0.75,twilio-ruby/lib/twilio-ruby/rest/ip_messaging/v2.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/bulkexports/v1.rb,c58e213a6f04,third-party apis,7.8,11,0,50,0.0,2,0.0,4,4,3,0.75,twilio-ruby/lib/twilio-ruby/rest/ip_messaging/v2.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/preview/marketplace.rb,c58e213a6f04,third-party apis,7.8,11,0,50,0.0,2,0.0,4,4,3,0.75,twilio-ruby/lib/twilio-ruby/rest/ip_messaging/v2.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/preview/hosted_numbers.rb,c58e213a6f04,third-party apis,7.8,11,0,50,0.0,2,0.0,4,4,3,0.75,twilio-ruby/lib/twilio-ruby/rest/ip_messaging/v2.rb,1.0
aasm,lib/generators/nobrainer/aasm_generator.rb,88061ec5104a,state machines,3,3,0,0,0.33,1,0.0,4,3,4,1.0,aasm/lib/generators/mongoid/aasm_generator.rb,1.0
concurrent-ruby,docs-source/actor/define.in.rb,0b88d5ff75f6,concurrency and parallelism,6.7,12,0,67,0.0,2,0.0,3,1,3,1.0,concurrent-ruby/docs-source/actor/define.out.rb,1.0
simplecov,test_projects/faked_project/minitest/some_test.rb,76a8e4e0f661,code analysis and metrics,3,3,0,67,0.0,1,0.0,3,1,3,1.0,simplecov/test_projects/faked_project/minitest/other_test.rb,1.0
selenium-webdriver,lib/selenium/webdriver/chrome/driver.rb,9175ed94d83e,testing,3.7,5,0,33,0.25,1,0.0,3,4,3,1.0,selenium-webdriver/lib/selenium/webdriver/edge/driver.rb,1.0
rouge,lib/rouge/lexers/idris.rb,afc3c52c2af0,code highlighting,9.3,15,100,0,0.0,2,0.0,3,3,3,1.0,rouge/lib/rouge/lexers/batchfile.rb,1.0
rouge,lib/rouge/lexers/bicep.rb,afc3c52c2af0,code highlighting,7.3,13,100,0,0.0,2,0.0,3,3,3,1.0,rouge/lib/rouge/lexers/fsharp.rb,1.0
rouge,lib/rouge/lexers/ttcn3.rb,afc3c52c2af0,code highlighting,10.7,17,100,0,0.0,2,0.0,3,3,3,1.0,rouge/lib/rouge/lexers/batchfile.rb,1.0
rubocop-rspec,lib/rubocop/rspec/plugin.rb,2488441eb70a,code formatting,7.3,11,0,67,0.0,1,0.0,3,3,3,1.0,rubocop-performance/lib/rubocop/performance/plugin.rb,1.0
shoulda-matchers,lib/shoulda/matchers/active_model/qualifiers/allow_nil.rb,cf3b3685f2c0,testing,3.7,4,0,0,0.0,0,0.0,3,5,3,1.0,shoulda-matchers/lib/shoulda/matchers/active_model/qualifiers/allow_blank.rb,1.0
fastlane,spaceship/lib/spaceship/tunes/app_review_attachment.rb,38d0ec404332,mobile development,6.3,10,0,33,0.0,2,33.3,3,3,3,1.0,fastlane/spaceship/lib/spaceship/tunes/app_image.rb,1.0
chronic,lib/chronic/grabber.rb,7d3d82d38c99,date and time processing,5.3,8,67,67,0.0,1,0.0,3,2,3,1.0,chronic/lib/chronic/pointer.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/preview_iam/versionless.rb,c58e213a6f04,third-party apis,6.3,11,0,33,0.0,2,0.0,3,4,3,1.0,twilio-ruby/lib/twilio-ruby/rest/ip_messaging/v2.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/studio/v1.rb,c58e213a6f04,third-party apis,6.3,11,0,33,0.0,2,0.0,3,4,3,1.0,twilio-ruby/lib/twilio-ruby/rest/ip_messaging/v2.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/lookups/v1.rb,c58e213a6f04,third-party apis,6.3,11,0,33,0.0,2,0.0,3,4,3,1.0,twilio-ruby/lib/twilio-ruby/rest/ip_messaging/v2.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/proxy/v1.rb,c58e213a6f04,third-party apis,6.3,11,0,33,0.0,2,0.0,3,4,3,1.0,twilio-ruby/lib/twilio-ruby/rest/ip_messaging/v2.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/taskrouter/v1.rb,c58e213a6f04,third-party apis,6.3,11,0,33,0.0,2,0.0,3,4,3,1.0,twilio-ruby/lib/twilio-ruby/rest/ip_messaging/v2.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/serverless/v1.rb,c58e213a6f04,third-party apis,6.3,11,0,33,0.0,2,0.0,3,4,3,1.0,twilio-ruby/lib/twilio-ruby/rest/ip_messaging/v2.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/trunking/v1.rb,c58e213a6f04,third-party apis,6.3,11,0,33,0.0,2,0.0,3,4,3,1.0,twilio-ruby/lib/twilio-ruby/rest/ip_messaging/v2.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/voice/v3.rb,c58e213a6f04,third-party apis,6.3,11,0,33,0.0,2,0.0,3,4,3,1.0,twilio-ruby/lib/twilio-ruby/rest/ip_messaging/v2.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/knowledge/v1.rb,c58e213a6f04,third-party apis,6.3,11,0,33,0.0,2,0.0,3,4,3,1.0,twilio-ruby/lib/twilio-ruby/rest/ip_messaging/v2.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/frontline_api/v1.rb,c58e213a6f04,third-party apis,6.3,11,0,33,0.0,2,0.0,3,4,3,1.0,twilio-ruby/lib/twilio-ruby/rest/ip_messaging/v2.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/sync/v1.rb,c58e213a6f04,third-party apis,6.3,11,0,33,0.0,2,0.0,3,4,3,1.0,twilio-ruby/lib/twilio-ruby/rest/ip_messaging/v2.rb,1.0
doorkeeper,lib/generators/doorkeeper/pkce_generator.rb,75a84fefe686,authentication and oauth,4.3,7,33,0,0.5,1,0.0,3,2,3,1.0,doorkeeper/lib/generators/doorkeeper/confidential_applications_generator.rb,1.0
doorkeeper,lib/generators/doorkeeper/remove_applications_secret_not_null_constraint_generator.rb,75a84fefe686,authentication and oauth,4.3,7,33,0,0.5,1,0.0,3,2,3,1.0,doorkeeper/lib/generators/doorkeeper/confidential_applications_generator.rb,1.0
doorkeeper,lib/generators/doorkeeper/application_owner_generator.rb,75a84fefe686,authentication and oauth,4.3,7,33,0,0.5,1,0.0,3,2,3,1.0,doorkeeper/lib/generators/doorkeeper/confidential_applications_generator.rb,1.0
doorkeeper,lib/generators/doorkeeper/migration_generator.rb,75a84fefe686,authentication and oauth,4.3,7,33,0,0.5,1,0.0,3,2,3,1.0,doorkeeper/lib/generators/doorkeeper/confidential_applications_generator.rb,1.0
mongo,lib/mongo/error/invalid_replacement_document.rb,049b718a2d47,database drivers,4.7,6,67,33,0.0,2,0.0,3,3,3,1.0,mongo/lib/mongo/error/invalid_update_document.rb,1.0
twilio-ruby,lib/twilio-ruby/rest/insights/v2/inbound.rb,c58e213a6f04,third-party apis,6.2,22,0,64,0.0,2,0.0,53,16,27,0.509,twilio-ruby/lib/twilio-ruby/rest/insights/v2/outbound.rb,0.897
bullet,lib/bullet/active_record71.rb,bc55c037d27a,profiler and optimization,28.6,303,5,89,0.0,0,10.5,19,3,18,0.947,bullet/lib/bullet/active_record80.rb,0.895
bullet,lib/bullet/active_record70.rb,bc55c037d27a,profiler and optimization,28.6,303,5,89,0.0,0,10.5,19,3,18,0.947,bullet/lib/bullet/active_record80.rb,0.895
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/conference/recording.rb,c58e213a6f04,third-party apis,7.2,31,0,76,0.0,2,0.0,58,14,29,0.5,twilio-ruby/lib/twilio-ruby/rest/api/v2010/account/call/recording.rb,0.875
twilio-ruby,lib/twilio-ruby/rest/assistants/v1/session/message.rb,c58e213a6f04,third-party apis,6.0,18,0,68,0.0,2,0.0,31,10,15,0.484,twilio-ruby/lib/twilio-ruby/rest/wireless/v1/sim/data_session.rb,0.875
twilio-ruby,lib/twilio-ruby/rest/content/v2/content_and_approvals.rb,c58e213a6f04,third-party apis,7.4,26,0,60,0.0,2,0.0,30,9,15,0.5,twilio-ruby/lib/twilio-ruby/rest/content/v2/content.rb,0.875
twilio-ruby,lib/twilio-ruby/rest/supersim/v1/sim/billing_period.rb,c58e213a6f04,third-party apis,6.1,16,0,66,0.0,2,0.0,29,10,15,0.517,twilio-ruby/lib/twilio-ruby/rest/wireless/v1/sim/data_session.rb,0.875
twilio-ruby,lib/twilio-ruby/rest/iam/v1/role_permission.rb,c58e213a6f04,third-party apis,6.3,15,0,63,0.0,2,0.0,27,9,15,0.556,twilio-ruby/lib/twilio-ruby/rest/wireless/v1/sim/data_session.rb,0.875
twilio-ruby,lib/twilio-ruby/rest/assistants/v1/knowledge/chunk.rb,c58e213a6f04,third-party apis,6.3,15,0,62,0.0,2,0.0,26,10,15,0.577,twilio-ruby/lib/twilio-ruby/rest/wireless/v1/sim/data_session.rb,0.875
twilio-ruby,lib/twilio-ruby/rest/knowledge/v1/knowledge/chunk.rb,c58e213a6f04,third-party apis,6.3,15,0,62,0.0,2,0.0,26,10,15,0.577,twilio-ruby/lib/twilio-ruby/rest/wireless/v1/sim/data_session.rb,0.875
twilio-ruby,lib/twilio-ruby/rest/supersim/v1/sim/sim_ip_address.rb,c58e213a6f04,third-party apis,6.7,15,0,57,0.0,2,0.0,23,10,15,0.652,twilio-ruby/lib/twilio-ruby/rest/wireless/v1/sim/data_session.rb,0.875
twilio-ruby,lib/twilio-ruby/rest/voice/v1/dialing_permissions/country/highrisk_special_prefix.rb,c58e213a6f04,third-party apis,6.8,15,0,55,0.0,2,0.0,22,11,15,0.682,twilio-ruby/lib/twilio-ruby/rest/wireless/v1/sim/data_session.rb,0.875
eventmachine,examples/guides/getting_started/08_simple_chat_server_step_five.rb,9cb13a8a6236,concurrency and parallelism,5.4,13,0,53,0.0,1,0.0,15,1,13,0.867,eventmachine/examples/guides/getting_started/03_simple_chat_server.rb,0.867
twilio-ruby,lib/twilio-ruby/rest/marketplace/v1/installed_add_on/installed_add_on_usage.rb,c58e213a6f04,third-party apis,6.5,22,0,52,0.0,2,0.0,21,11,13,0.619,twilio-ruby/lib/twilio-ruby/rest/content/v1/content/approval_create.rb,0.857
mongo,lib/mongo/cluster/topology/load_balanced.rb,049b718a2d47,database drivers,3.6,8,0,20,0.0,1,0.0,10,4,6,0.6,mongo/lib/mongo/cluster/topology/single.rb,0.857
geocoder,lib/geocoder/lookups/ipstack.rb,d3515db46c57,geolocation,5.8,14,0,67,0.0,1,0.0,6,2,6,1.0,geocoder/lib/geocoder/lookups/ipregistry.rb,0.857
twilio-ruby,lib/twilio-ruby/rest/conversations/v1/service/conversation/message/delivery_receipt.rb,c58e213a6f04,third-party apis,6.3,24,0,70,0.0,2,0.0,47,15,23,0.489,twilio-ruby/lib/twilio-ruby/rest/proxy/v1/service/session/participant/message_interaction.rb,0.846
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/incoming_phone_number/assigned_add_on/assigned_add_on_extension.rb,c58e213a6f04,third-party apis,6.4,24,0,68,0.0,2,0.0,44,15,23,0.523,twilio-ruby/lib/twilio-ruby/rest/proxy/v1/service/session/participant/message_interaction.rb,0.846
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/token.rb,c58e213a6f04,third-party apis,6.5,27,0,62,0.0,2,0.0,24,10,11,0.458,twilio-ruby/lib/twilio-ruby/rest/numbers/v2/regulatory_compliance/bundle/replace_items.rb,0.833
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/new_signing_key.rb,c58e213a6f04,third-party apis,6.8,27,0,59,0.0,2,0.0,22,10,11,0.5,twilio-ruby/lib/twilio-ruby/rest/numbers/v2/regulatory_compliance/bundle/replace_items.rb,0.833
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/new_key.rb,c58e213a6f04,third-party apis,6.8,27,0,59,0.0,2,0.0,22,10,11,0.5,twilio-ruby/lib/twilio-ruby/rest/numbers/v2/regulatory_compliance/bundle/replace_items.rb,0.833
twilio-ruby,lib/twilio-ruby/rest/events/v1/sink/sink_validate.rb,c58e213a6f04,third-party apis,7.4,27,0,50,0.0,2,0.0,18,10,11,0.611,twilio-ruby/lib/twilio-ruby/rest/numbers/v2/regulatory_compliance/bundle/replace_items.rb,0.833
activerecord,lib/arel/delete_manager.rb,3989ebf3473d,orm/odm,5,10,0,80,0.5,1,0.0,5,2,5,1.0,activerecord/lib/arel/update_manager.rb,0.833
twilio-ruby,lib/twilio-ruby/rest/lookups/v2/bucket.rb,c58e213a6f04,third-party apis,6.5,23,0,65,0.0,2,0.0,46,13,25,0.543,twilio-ruby/lib/twilio-ruby/rest/lookups/v2/lookup_override.rb,0.828
rubocop-performance,tasks/changelog.rb,c07064ddee3f,code formatting,5.4,12,12,62,0.0,0,0.0,24,1,24,1.0,rubocop/tasks/changelog.rb,0.815
rubocop-rails,tasks/changelog.rb,2ccba590ec47,code formatting,5.4,12,12,62,0.0,0,0.0,24,1,24,1.0,rubocop/tasks/changelog.rb,0.815
twilio-ruby,lib/twilio-ruby/rest/api/v2010/account/call/transcription.rb,c58e213a6f04,third-party apis,9.0,62,0,66,0.0,2,0.0,38,14,19,0.5,twilio-ruby/lib/twilio-ruby/rest/api/v2010/account/call/stream.rb,0.81
twilio-ruby,lib/twilio-ruby/rest/accounts/v1/credential.rb,c58e213a6f04,third-party apis,5.8,15,0,29,0.0,2,0.0,17,9,9,0.529,twilio-ruby/lib/twilio-ruby/rest/numbers/v2/regulatory_compliance.rb,0.8
twilio-ruby,lib/twilio-ruby/rest/pricing/v1/voice.rb,c58e213a6f04,third-party apis,5.8,15,0,29,0.0,2,0.0,17,9,9,0.529,twilio-ruby/lib/twilio-ruby/rest/numbers/v2/regulatory_compliance.rb,0.8
twilio-ruby,lib/twilio-ruby/rest/pricing/v2/voice.rb,c58e213a6f04,third-party apis,5.8,15,0,29,0.0,2,0.0,17,9,9,0.529,twilio-ruby/lib/twilio-ruby/rest/numbers/v2/regulatory_compliance.rb,0.8
twilio-ruby,lib/twilio-ruby/rest/pricing/v1/messaging.rb,c58e213a6f04,third-party apis,5.5,15,0,25,0.0,2,0.0,16,9,9,0.562,twilio-ruby/lib/twilio-ruby/rest/numbers/v2/regulatory_compliance.rb,0.8
twilio-ruby,lib/twilio-ruby/rest/pricing/v1/phone_number.rb,c58e213a6f04,third-party apis,5.5,15,0,25,0.0,2,0.0,16,9,9,0.562,twilio-ruby/lib/twilio-ruby/rest/numbers/v2/regulatory_compliance.rb,0.8
fastlane,fastlane/lib/fastlane/actions/import.rb,38d0ec404332,mobile development,3.4,6,100,0,0.0,1,0.0,9,3,4,0.444,fastlane/fastlane/lib/fastlane/actions/lane_context.rb,0.8
twilio-ruby,lib/twilio-ruby/rest/accounts/v1.rb,c58e213a6f04,third-party apis,4.8,11,0,11,0.0,2,0.0,9,4,4,0.444,twilio-ruby/lib/twilio-ruby/rest/lookups/v2.rb,0.8
fastlane,fastlane/lib/fastlane/actions/import_certificate.rb,38d0ec404332,mobile development,8.8,33,100,12,0.0,1,0.0,8,3,5,0.625,fastlane/fastlane/lib/fastlane/actions/import_from_git.rb,0.8
twilio-ruby,lib/twilio-ruby/rest/video/v1.rb,c58e213a6f04,third-party apis,7.9,11,0,50,0.0,2,0.0,8,4,4,0.5,twilio-ruby/lib/twilio-ruby/rest/lookups/v2.rb,0.8
twilio-ruby,lib/twilio-ruby/rest/numbers/v2.rb,c58e213a6f04,third-party apis,8.9,11,0,62,0.0,2,0.0,8,4,4,0.5,twilio-ruby/lib/twilio-ruby/rest/lookups/v2.rb,0.8
twilio-ruby,lib/twilio-ruby/rest/verify/v2.rb,c58e213a6f04,third-party apis,7.9,11,0,50,0.0,2,0.0,8,4,4,0.5,twilio-ruby/lib/twilio-ruby/rest/lookups/v2.rb,0.8
twilio-ruby,lib/twilio-ruby/rest/iam/v1.rb,c58e213a6f04,third-party apis,6.9,11,0,38,0.0,2,0.0,8,4,4,0.5,twilio-ruby/lib/twilio-ruby/rest/lookups/v2.rb,0.8
twilio-ruby,lib/twilio-ruby/rest/knowledge/v2.rb,c58e213a6f04,third-party apis,11.6,16,0,75,0.0,2,0.0,8,4,4,0.5,twilio-ruby/lib/twilio-ruby/rest/lookups/v2.rb,0.8
twilio-ruby,lib/twilio-ruby/rest/conversations/v2.rb,c58e213a6f04,third-party apis,11.1,16,0,75,0.0,2,0.0,8,4,4,0.5,twilio-ruby/lib/twilio-ruby/rest/lookups/v2.rb,0.8
twilio-ruby,lib/twilio-ruby/rest/insights/v1.rb,c58e213a6f04,third-party apis,7.3,11,0,43,0.0,2,0.0,7,4,4,0.571,twilio-ruby/lib/twilio-ruby/rest/lookups/v2.rb,0.8
twilio-ruby,lib/twilio-ruby/rest/assistants/v1.rb,c58e213a6f04,third-party apis,8.4,11,0,57,0.0,2,0.0,7,4,4,0.571,twilio-ruby/lib/twilio-ruby/rest/lookups/v2.rb,0.8
twilio-ruby,lib/twilio-ruby/rest/intelligence/v3.rb,c58e213a6f04,third-party apis,10.3,16,0,71,0.0,2,0.0,7,4,4,0.571,twilio-ruby/lib/twilio-ruby/rest/lookups/v2.rb,0.8
twilio-ruby,lib/twilio-ruby/rest/marketplace/v1.rb,c58e213a6f04,third-party apis,7.3,11,0,43,0.0,2,0.0,7,4,4,0.571,twilio-ruby/lib/twilio-ruby/rest/lookups/v2.rb,0.8
twilio-ruby,lib/twilio-ruby/rest/wireless/v1.rb,c58e213a6f04,third-party apis,7.8,11,0,50,0.0,2,0.0,6,4,4,0.667,twilio-ruby/lib/twilio-ruby/rest/lookups/v2.rb,0.8
gitlab,lib/gitlab/client/group_milestones.rb,4818c5712616,third-party apis,3.2,4,0,0,0.0,2,0.0,6,2,4,0.667,gitlab/lib/gitlab/client/milestones.rb,0.8
twilio-ruby,lib/twilio-ruby/rest/content/v1.rb,c58e213a6f04,third-party apis,5.4,11,0,20,0.0,2,0.0,5,4,4,0.8,twilio-ruby/lib/twilio-ruby/rest/lookups/v2.rb,0.8
